Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TGB,Taseko Mines Ltd. Common Stock,$2.18,0.11,5.314%,617195112.00,Canada,,1918254,,
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$1.02,0.02,2.00%,198806348.00,Canada,,16974,,
TKAT,Takung Art Co. Ltd. Common Stock,$29.43,-1.17,-3.824%,331716684.00,,,328202,,
TMBR,Timber Pharmaceuticals Inc. Common Stock,$1.35,-0.05,-3.571%,49490575.00,United States,2015,388361,,
TMP,Tompkins Financial Corporation Common Stock,$80.13,-0.33,-0.41%,1194475794.00,United States,,8015,,
TMQ,Trilogy Metals Inc. Common Stock,$2.2553,0.0353,1.59%,325423493.00,Canada,,21865,,
TPHS,Trinity Place Holdings Inc. Common Stock,$1.836,0.036,2.00%,59564678.00,,,11045,,
TRT,Trio-Tech International Common Stock,$4.985,-0.295,-5.587%,18497117.00,United States,,25897,,
TRX,Tanzanian Gold Corporation Common Stock,$0.5286,-0.013,-2.40%,134724576.00,Canada,,328650,,
UAMY,United States Antimony Corporation Common Stock,$0.8834,-0.0166,-1.844%,90813608.00,United States,,357653,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$5.56,-0.20,-3.472%,376995600.00,United States,,511933,,
UEC,Uranium Energy Corp. Common Stock,$3.42,0.27,8.571%,788391201.00,Canada,,3502899,,
UFAB,Unique Fabricating Inc. Common Stock,$4.65,0.14,3.104%,45473034.00,United States,2015,877,,
URG,Ur Energy Inc Common Shares (Canada),$1.285,0.085,7.083%,243364994.00,Canada,,2211689,,
USAS,Americas Gold and Silver Corporation Common Shares no par value,$2.315,-0.025,-1.068%,307990959.00,,2017,119936,,
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$34.705,-0.185,-0.53%,1932962303.00,United States,2004,43244,,
UUU,Universal Security Instruments Inc. Common Stock,$5.5069,-0.1431,-2.533%,12736837.00,United States,,38646,,
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$6.31,0.43,7.313%,895402560.00,,,2939444,,
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.48,0.05,0.347%,70041208.00,United States,1993,774,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$13.61,0.04,0.295%,61632109.00,United States,1993,28680,,
VGZ,Vista Gold Corp Common Stock,$1.06,0.00,0.00%,110397858.00,United States,,34497,,
VHAQ,Viveon Health Acquisition Corp. Common Stock,$9.92,0.00,0.00%,249550000.00,,2021,235,,
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$12.2298,0.0298,0.244%,542899790.00,United States,,70038,,
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$13.525,0.005,0.037%,155604787.00,United States,1993,1052,,
VNRX,VolitionRX Limited Common Stock,$3.09,-0.07,-2.215%,163371103.00,Singapore,2015,93646,,
VOLT,Volt Information Sciences Inc. Common Stock,$3.93,0.04,1.028%,85424740.00,United States,,9600,,
WLMS,Williams Industrial Services Group Inc. Common Stock,$5.069,-0.061,-1.189%,129683851.00,,2021,63702,,
WRN,Western Copper and Gold Corporation Common Stock,$1.52,0.00,0.00%,206412405.00,Canada,2011,138610,,
WTT,Wireless Telecom Group  Inc. Common Stock,$1.86,0.01,0.541%,40318288.00,United States,,5833,,
WWR,Westwater Resources Inc. Common Stock,$4.20,-0.07,-1.639%,135812523.00,United States,,292306,,
WYY,WidePoint Corporation Common Stock,$8.38,0.12,1.453%,76017921.00,United States,,11403,,
XPL,Solitario Zinc Corp. Common Stock,$0.6797,0.011,1.645%,39680285.00,United States,,161472,,
XTNT,Xtant Medical Holdings Inc. Common Stock,$1.73,0.00,0.00%,150003605.00,United States,,29474,,
XXII,22nd Century Group Inc. Common Stock,$4.27,-0.06,-1.386%,650737329.00,United States,,1178363,,
YCBD,cbdMD Inc. Common Stock,$3.75,-0.03,-0.794%,208633624.00,United States,2017,59454,,
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$9.1055,0.00,0.00%,,United States,,3,,
ZDGE,Zedge Inc. Class B Common Stock ,$13.25,-0.07,-0.526%,179295038.00,,2016,365234,,
ZOM,Zomedica Corp. Common Shares,$0.9197,0.0197,2.189%,893964318.00,United States,2017,10182129,,
